name,link,ingredient,steps,nutrition,image_url
Curried pumpkin and chickpea soup,https://www.taste.com.au/recipes/curried-pumpkin-chickpea-soup/131bfe1c-5921-422c-9cd5-acb6aa6e8ecd#coral_thread,"[{'quantity': '1', 'unit': 'tbsp', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'large', 'name': 'brown onion, chopped'}, {'quantity': '2', 'unit': 'garlic', 'name': 'cloves, crushed'}, {'quantity': '2', 'unit': 'tsp', 'name': 'curry powder'}, {'quantity': '1.75', 'unit': 'kg', 'name': 'butternut pumpkin, peeled, cut into 1.5cm pieces'}, {'quantity': '400', 'unit': 'g', 'name': 'cans chickpeas, drained, rinsed'}, {'quantity': '4', 'unit': 'cups', 'name': 'Massel chicken style liquid stock'}, {'quantity': None, 'unit': 'Tamar', 'name': 'Valley Greek Style Yoghurt, to serve'}, {'quantity': None, 'unit': 'Fresh', 'name': 'coriander sprigs, to serve'}]","Heat oil in a large saucepan over medium heat. Add onion and garlic. Cook for 5 minutes or until onion has softened. Add curry powder. Cook for 1 minute or until fragrant. Add pumpkin. Stir to coat., Using a fork, crush half the chickpeas. Add crushed chickpeas, stock and 1 cup cold water to pan. Bring to the boil. Reduce heat to low. Simmer, partially covered, for 30 minutes or until pumpkin is very tender and soup has thickened. Stir in remaining chickpeas. Ladle into bowls. Top with yoghurt and coriander. Serve.","calories: 285, fat: 6.8g, carbs: 53.5g, protein: 8.3g, servings: 4",https://img.taste.com.au/G3dee-zd/w720-h480-cfill-q80/taste/2016/11/curried-pumpkin-and-chickpea-soup-85038-1.jpeg
Sticky date puddings,https://www.taste.com.au/recipes/sticky-date-puddings/9620a0d2-fd5e-42ee-904b-393ec7659f39#coral_thread,"[{'quantity': '175', 'unit': 'g', 'name': 'dates, pitted, chopped'}, {'quantity': '1', 'unit': 'tsp', 'name': 'bicarbonate of soda'}, {'quantity': '75', 'unit': 'g', 'name': 'unsalted butter, softened, plus extra to grease'}, {'quantity': '150', 'unit': 'g', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'tsp', 'name': 'vanilla extract'}, {'quantity': '170', 'unit': 'g', 'name': 'self-raising flour, sifted'}, {'quantity': '2', 'unit': 'egg', 'name': 's'}, {'quantity': None, 'unit': 'Thick', 'name': 'cream, to serve'}]","Preheat oven to 180°C. Place dates in a pan with 180ml water and bring to the boil. Add bicarbonate of soda and set aside for 15 minutes (it will bubble fiercely then settle down)., Cream together butter and sugar until pale. Add vanilla and 1 tablespoon of flour, and stir to combine. Add eggs one at a time, beating until smooth. Use a metal spoon to gently fold in remaining flour and stir in the date mixture (it may look a little curdled at this stage)., Grease six 250ml (1-cup capacity) dariole moulds with butter and pour in pudding mixture. Bake for 25 minutes until cooked through. Set aside for 5 minutes before turning out., To make the sauce, mix ingredients in a pan over low heat until butter has melted. Cool slightly before pouring over puddings. Serve with cream.","calories: 633, fat: 32.3g, carbs: 84.4g, protein: 6.9g, servings: 6",https://img.taste.com.au/MKQ5b4Gg/w720-h480-cfill-q80/taste/2016/11/sticky-date-puddings-11568-1.jpeg
"Chargrilled chicken with rice, spinach and pea pulao",https://www.taste.com.au/recipes/chargrilled-chicken-rice-spinach-pea-pulao/b0e9a47d-1d32-4db3-baef-c912349a6608#coral_thread,"[{'quantity': '2', 'unit': 'single', 'name': 'chicken breast fillets, fat trimmed'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'vegetable oil'}, {'quantity': '1 2.5', 'unit': 'cm', 'name': 'piece cinnamon stick'}, {'quantity': '5', 'unit': 'clove', 'name': 's'}, {'quantity': '1', 'unit': 'tsp', 'name': 'cumin seeds'}, {'quantity': '1/4', 'unit': 'tsp', 'name': 'cardamom seeds'}, {'quantity': '1', 'unit': 'large', 'name': 'brown onion, thinly sliced'}, {'quantity': '2', 'unit': 'garlic', 'name': 'cloves, thinly sliced'}, {'quantity': '200', 'unit': 'g', 'name': '(1 cup) Basmati rice, rinsed well'}, {'quantity': '500', 'unit': 'ml', 'name': '(2 cups) Vegetable stock'}, {'quantity': None, 'unit': 'Salt', 'name': '& freshly ground black pepper'}, {'quantity': '10', 'unit': 'large', 'name': 'English spinach leaves, washed, drained, stems trimmed, roughly chopped'}, {'quantity': '110', 'unit': 'g', 'name': '(2/3 cup) frozen peas, thawed'}, {'quantity': '130', 'unit': 'g', 'name': '(1/2 cup) skim milk natural yoghurt'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'chopped fresh coriander'}, {'quantity': '1/2', 'unit': 'tsp', 'name': 'ground coriander'}]","Heat a chargrill over medium-high heat. Brush each chicken2 single chicken breast fillets, fat trimmed fillet with 1/2 teaspoon of the oil1 tbsp vegetable oil and cook on preheated chargrill for 4 minutes each side or until just cooked through. Transfer to a plate, cover with foil and set aside., Meanwhile: heat remaining oil in a large saucepan over medium heat. Add cinnamon1 2.5cm piece cinnamon stick, cloves5 cloves, cumin1 tsp cumin seeds and cardamom1/4 tsp cardamom seeds, and cook, stirring, for 30 seconds or until fragrant. Add onion1 large brown onion, thinly sliced and garlic2 garlic cloves, thinly sliced, and cook, stirring, for 5 minutes or until onion softens., Add the rice200g (1 cup) Basmati rice, rinsed well and mix well. Stir in the stock500ml (2 cups) Vegetable stock, salt and pepperSalt & freshly ground black pepper. Bring to the boil over medium-high heat. Reduce heat to low, cover tightly and cook for 20 minutes without lifting the lid., Remove from the heat. Use a fork to quickly and gently stir the spinach10 large English spinach leaves, washed, drained, stems trimmed, roughly chopped and peas110g (2/3 cup) frozen peas, thawed through the pulao. Replace the lid and set aside for 10 minutes., Combine the yoghurt130g (1/2 cup) skim milk natural yoghurt, fresh coriander2 tbsp chopped fresh coriander and ground coriander1/2 tsp ground coriander in a small bowl, and season with salt and pepper. Set aside. Thinly slice the chicken across the grain. Serve the pulao topped with the chicken and a dollop of coriander2 tbsp chopped fresh coriander yoghurt.","calories: 369, fat: 7.7g, carbs: 55.0g, protein: 19.6g, servings: 4",https://img.taste.com.au/oq-JswCB/w720-h480-cfill-q80/taste/2016/11/chargrilled-chicken-with-rice-spinach-and-pea-pulao-21274-1.jpeg
Bitter green salad with currant dressing,https://www.taste.com.au/recipes/bitter-green-salad-currant-dressing/5f838a8d-3419-448a-8f7e-a110d6e21c25#coral_thread,"[{'quantity': '2', 'unit': 'tbsp', 'name': 'extra virgin olive oil'}, {'quantity': '1 1/2', 'unit': 'tbsp', 'name': 'white balsamic vinegar'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'currants'}, {'quantity': '1', 'unit': 'red', 'name': 'oakleaf lettuce, leaves separated'}, {'quantity': '1/2', 'unit': 'raddichio', 'name': 'lettuce, leaves separated'}, {'quantity': '1/2', 'unit': 'baby', 'name': 'fennel bulb, thinly sliced'}]","Combine the oil, vinegar and currants in a small bowl. Season. Set aside for 15 minutes to macerate., Place the lettuces and fennel in a large bowl. Drizzle with the dressing. Toss to combine. Serve immediately","calories: 71, fat: 6.2g, carbs: 3.6g, protein: 0.8g, servings: 6",https://img.taste.com.au/Thbnp2PE/w720-h480-cfill-q80/taste/2016/11/bitter-green-salad-with-currant-dressing-98039-1.jpeg
Chargrilled sweet corn salad,https://www.taste.com.au/recipes/chargrilled-sweet-corn-salad/486335d4-6b68-46d6-a7f7-a80f9599591d#coral_thread,"[{'quantity': '2', 'unit': 'sweet', 'name': 'corn, husks and silk removed'}, {'quantity': None, 'unit': 'Olive', 'name': 'oil spray'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'fresh lime juice'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'extra virgin olive oil'}, {'quantity': None, 'unit': 'Salt', 'name': '& freshly ground pepper'}, {'quantity': '80', 'unit': 'g', 'name': 'snow pea sprouts'}, {'quantity': '2', 'unit': 'avocados', 'name': ', halved, stone removed, peeled, chopped'}, {'quantity': '120', 'unit': 'g', 'name': 'feta, crumbled'}]","Heat a chargrill pan over a medium-high heat. Spray the corn with olive oil. Cook on the chargrill, turning often, for 8 minutes or until golden., Stand a cob on one end and slice downwards with a knife as close as possible to the cob to remove the kernels. Repeat with the second cob. Mix the lime juice, extra virgin olive oil, salt and pepper until well combined., Divide the snow pea sprouts, avocado and warm corn kernels among serving dishes. Drizzle with the dressing and scatter the feta to serve.","calories: 297, fat: 22.2g, carbs: 21.2g, protein: 8.7g, servings: 4",https://img.taste.com.au/-VNPiCg5/w720-h480-cfill-q80/taste/2016/11/chargrilled-sweet-corn-salad-12916-1.jpeg
Baileys mousse cake,https://www.taste.com.au/recipes/baileys-mousse-cake-recipe/s25ettds#coral_thread,"[{'quantity': '100', 'unit': 'g', 'name': 'butter, chopped'}, {'quantity': '70', 'unit': 'g', 'name': '(1/3 cup, firmly packed) brown sugar'}, {'quantity': '50', 'unit': 'g', 'name': 'dark chocolate, chopped'}, {'quantity': '75', 'unit': 'g', 'name': '(1/2 cup) self-raising flour'}, {'quantity': '40', 'unit': 'g', 'name': '(1/4 cup) plain flour'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'dark cocoa powder, plus extra, to dust'}, {'quantity': '1', 'unit': 'egg', 'name': ', lightly whisked'}, {'quantity': '300', 'unit': 'ml', 'name': 'thickened cream, whipped'}]","Preheat the oven to 160C/140C fan forced. Grease a 20cm springform pan and line the base and side with baking paper., Combine the butter, sugar and dark chocolate in a small saucepan over low heat. Cook, stirring occasionally, for 3 minutes or until melted and smooth. Set aside to cool slightly., Meanwhile, sift the flours and cocoa powder into a medium bowl and make a well in the centre. Add the butter mixture and whisked egg. Quickly stir to combine. Transfer to the prepared pan and smooth the surface. Bake for 25 minutes or until the cake springs back when lightly touched. Set aside in the pan to cool completely., To make the mousse, pour the Baileys into a microwave-safe bowl and sprinkle with the gelatine. Set aside for 2-3 minutes to soften. (Use your fingertip to gently submerge the gelatine into the liquid if it settles on the surface but do not stir). Microwave on High for 20 seconds or until hot. Use a fork to whisk until gelatine dissolves. Set aside to cool slightly., Place the milk chocolate in a medium bowl. Add the egg yolks and stir until just combined. Place the egg whites in another bowl and use electric beaters to beat until soft peaks form. Use a large metal spoon to fold the egg whites through the chocolate mixture. Fold through the cream. Pour over the Baileys mixture and fold to combine. Pour mousse mixture over the cooled cake (still in the pan) and place in the fridge for 6 hours or until set. Dollop with the cream and sprinkle with extra cocoa to serve­.","calories: 536, fat: 39.1g, carbs: 37.5g, protein: 6.7g, servings: 10",https://img.taste.com.au/K1C3cV8h/w720-h480-cfill-q80/taste/2019/05/baileys-mousse-cake-150014-2.jpg
Sticky Irish-whiskey short ribs,https://www.taste.com.au/recipes/sticky-irish-whiskey-short-ribs/7b62c42f-ca55-499d-b755-2cf122d73526#coral_thread,"[{'quantity': '2', 'unit': 'kg', 'name': 'beef short ribs'}, {'quantity': '1 1/3', 'unit': 'firmly', 'name': 'packed cups (330g) muscovado sugar or dark brown sugar'}, {'quantity': '6', 'unit': 'garlic', 'name': 'cloves, finely chopped'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'Worcestershire sauce'}, {'quantity': '1/4', 'unit': 'cup', 'name': '(60ml) HP sauce'}, {'quantity': '1/2', 'unit': 'cup', 'name': '(125ml) Irish whiskey or regular whiskey'}, {'quantity': '1/2', 'unit': 'cup', 'name': '(125ml) malt vinegar'}, {'quantity': '4', 'unit': 'thyme', 'name': 'sprigs, leaves picked'}, {'quantity': '3', 'unit': 'star', 'name': 'anise'}]","Preheat the oven to 160C., Place the ribs in a roasting pan just large enough to fit them snugly. Season., Whisk the sugar, garlic, sauces, whiskey, vinegar, thyme and star anise in a bowl., Pour over the ribs, then cover with foil., Roast ribs for 1.5 hours, then remove foil and cook, basting frequently, for a further 1.5 hours or until meat is tender and falling off the bone. Transfer ribs to a plate and cover loosely with foil to keep warm., Place the roasting pan over medium heat and stir the cooking juices until they are reduced and syrupy. Pour sauce over ribs to serve.","calories: 1401, fat: 90.7g, carbs: 92.1g, protein: 36.5g, servings: 4",https://img.taste.com.au/faroJ9VU/w720-h480-cfill-q80/taste/2016/11/sticky-irish-whiskey-short-ribs-95135-1.jpeg
Noodle omelette,https://www.taste.com.au/recipes/noodle-omelette/bb6506e5-157d-4e50-8fb4-c690cc36cc6e#coral_thread,"[{'quantity': '8', 'unit': 'eggs', 'name': ', lightly whisked'}, {'quantity': '2', 'unit': 'spring', 'name': 'onions (shallots), thinly sliced'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'cold water'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'peanut oil'}, {'quantity': '4', 'unit': 'x', 'name': '85g pkts Indomie Mi Goreng Instant Noodles'}, {'quantity': '1', 'unit': 'cucumber', 'name': ', peeled into ribbons'}, {'quantity': '1', 'unit': 'carrot', 'name': ', peeled into ribbons'}, {'quantity': None, 'unit': 'Cherry', 'name': 'tomatoes, quartered, to serve'}, {'quantity': None, 'unit': 'Spring', 'name': 'onions (shallots), thinly sliced, extra, to serve'}]","Combine egg, spring onion and water in a bowl. Heat 1 tsp oil in a wok over medium heat. Add one-quarter of the egg mixture. Swirl to coat. Cook for 2 minutes or until just set. Transfer to a plate. Repeat with remaining oil and egg mixture to make 4 omelettes., Prepare the noodles following packet directions. Transfer to a bowl. Add cucumber and carrot. Toss to combine., Divide omelettes among plates. Top with noodle mixture, tomato and spring onion. Fold the omelettes in half.","calories: 583, fat: 30.0g, carbs: 55.2g, protein: 20.9g, servings: 4",https://img.taste.com.au/41LI_1Kf/w720-h480-cfill-q80/taste/2016/11/noodle-omelette-97613-1.jpeg
Pumpkin and zucchini 'no pasta' lasagne,https://www.taste.com.au/recipes/pumpkin-zucchini-no-pasta-lasagne/a46a2ea4-89fb-4116-ae2a-9f7804c041d3#coral_thread,"[{'quantity': '600', 'unit': 'g', 'name': 'butternut pumpkin, unpeeled, thinly sliced'}, {'quantity': None, 'unit': 'Olive', 'name': 'oil cooking spray'}, {'quantity': '2', 'unit': 'large', 'name': 'zucchini, peeled into ribbons'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'extra virgin olive oil'}, {'quantity': '1', 'unit': 'brown', 'name': 'onion, finely chopped'}, {'quantity': '3', 'unit': 'garlic', 'name': 'cloves, crushed'}, {'quantity': '250', 'unit': 'g', 'name': 'lean beef mince (see notes)'}, {'quantity': '1/2', 'unit': 'tsp', 'name': 'ground cinnamon'}, {'quantity': '1/2', 'unit': 'tsp', 'name': 'ground allspice'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'sundried tomatoes (not in oil), roughly chopped'}, {'quantity': '410', 'unit': 'g', 'name': 'can crushed tomatoes'}, {'quantity': '1', 'unit': 'cup', 'name': 'dried red lentils, rinsed, drained'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'finely chopped fresh oregano leaves'}, {'quantity': '250', 'unit': 'g', 'name': 'tub smooth low-fat ricotta'}, {'quantity': '1', 'unit': 'egg', 'name': ', lightly beaten'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'finely grated parmesan'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'natural seed mix with pine nuts, toasted'}]","Preheat oven to 200C/180C fan-forced. Line 2 large baking trays with baking paper., Place pumpkin, in a single layer, on trays. Spray with oil. Roast for 10 minutes or until just tender. Transfer to a plate. Place zucchini, in a single layer, on trays. Spray with oil. Roast for 5 minutes or until just tender., Meanwhile, heat oil in a large, heavybased saucepan over medium-high heat. Add onion. Cook, stirring, for 5 minutes or until onion has softened. Add garlic. Cook for 1 minute or until fragrant. Add mince. Cook, breaking up lumps with a wooden spoon, for 6 minutes or until browned. Add cinnamon, allspice, sundried and crushed tomatoes, lentils and 2 1/2 cups water. Bring to the boil. Reduce heat to medium-low. Simmer, partially covered, for 10 minutes. Uncover. Cook for a further 10 minutes or until lentils are tender and mixture is thick. Remove from heat. Stir in oregano., Combine ricotta, egg and 1/2 the parmesan in a bowl. Season with salt and pepper., Grease a 6cm-deep, 21cm x 26.5cm (top), 8-cup-capacity baking dish. Spoon 2 cups mince mixture over base of pan. Spread with 1/2 the ricotta mixture. Top with 1/2 the pumpkin and 1/2 the zucchini. Top with remaining mince mixture, ricotta mixture, pumpkin and zucchini. Sprinkle with remaining parmesan. Season with salt and pepper. Cover with baking paper, followed by foil. Bake for 20 minutes. Remove foil and baking paper. Bake for a further 10 to 15 minutes or until golden. Stand for 10 minutes. Serve sprinkled with seed mix.","calories: 453, fat: 19.0g, carbs: 44.0g, protein: 30.3g, servings: 6",https://img.taste.com.au/lG-No6HK/w720-h480-cfill-q80/taste/2016/11/no-pasta-zucchini-lasagne-all-our-most-recent-recipes-of-the-day-109389-6.jpeg
Strawberry and Pimm’s crumble,https://www.taste.com.au/recipes/strawberry-pimms-crumble-recipe/6ihg7uqy#coral_thread,"[{'quantity': '750', 'unit': 'g', 'name': 'strawberries, halved'}, {'quantity': '1/3', 'unit': 'cup', 'name': '(80ml) Pimm’s No.1 or orange juice'}, {'quantity': '2/3', 'unit': 'cup', 'name': '(165g) brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': '(150g) plain flour'}, {'quantity': '100', 'unit': 'g', 'name': 'butter, chopped, softened'}]","Preheat oven to 180°C. Place the strawberry in a 6-cup (1.5L) baking dish. Add Pimm’s or orange juice and 2 tsp of the sugar and stir to combine., Combine flour and remaining sugar in a small bowl. Add the butter and use your fingertips to rub the butter into the flour mixture until mixture resembles coarse breadcrumbs. Sprinkle over the strawberry mixture in the dish., Bake for 30 mins or until the top is golden brown and strawberry is tender. Set aside for 5 mins to cool slightly.","calories: 2249, fat: 84.7g, carbs: 334.5g, protein: 21.4g, servings: 6",https://img.taste.com.au/Il2xPWln/w720-h480-cfill-q80/taste/2019/02/strawberry-pimms-crumble-147396-1.jpg
Prawns with romesco dip,https://www.taste.com.au/recipes/prawns-romesco-dip/b52eafe5-7df1-45c5-b968-35e415000b32#coral_thread,"[{'quantity': '60', 'unit': 'g', 'name': '(1/3 cup) blanched almonds'}, {'quantity': '150', 'unit': 'g', 'name': 'bought chargrilled capsicum, drained'}, {'quantity': '1/2', 'unit': 'tsp', 'name': 'sweet paprika'}, {'quantity': '125', 'unit': 'g', 'name': '(1/2 cup) bought aioli (see note)'}, {'quantity': '3', 'unit': 'kg', 'name': 'cooked prawns, peeled leaving tails intact'}]","Process the almonds in a food processor until finely chopped. add the capsicum and paprika, and process until a smooth paste forms., Transfer the almond mixture to a bowl and stir in the aioli. Season with salt and pepper., Serve the prawns with the sauce and lemon wedges.","calories: 281, fat: 10.5g, carbs: 4.1g, protein: 43.7g, servings: 10",https://img.taste.com.au/FhbdmxJO/w720-h480-cfill-q80/taste/2016/11/prawns-with-romesco-dip-75862-1.jpeg
Sticky pomegranate chicken with couscous salad,https://www.taste.com.au/recipes/sticky-pomegranate-chicken-couscous-salad/pcd6inzp#coral_thread,"[{'quantity': '1', 'unit': 'kg', 'name': 'chicken wing nibbles'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pomegranate molasses'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'fresh thyme leaves'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'extra virgin olive oil'}, {'quantity': '1', 'unit': 'red', 'name': 'onion, cut into thin wedges'}, {'quantity': '2', 'unit': 'small', 'name': 'zucchini, thinly sliced'}, {'quantity': '1', 'unit': 'cup', 'name': 'wholemeal couscous'}, {'quantity': '1', 'unit': 'cup', 'name': 'boiling water'}, {'quantity': '60', 'unit': 'g', 'name': 'mixed salad leaves'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'pomegranate', 'name': ', seeds removed'}]","Preheat oven to 220C/200C fan-forced. Line 2 baking trays with baking paper. Place chicken on 1 prepared tray. Combine molasses, thyme and 1⁄2 the oil in a small jug. Drizzle over chicken. Toss to coat. Bake, turning occasionally, for 40 minutes or until golden and cooked through., Meanwhile, place onion and zucchini on remaining tray. Add to oven in the last 20 minutes of chicken cooking time. Season with salt and pepper., Place couscous in a large heatproof bowl. Add boiling water. Cover. Set aside for 5 minutes. Fluff couscous with a fork to separate grains. Add salad leaves, zucchini mixture, lemon juice, remaining oil and 1/2 the pomegranate seeds. Toss to combine. Serve chicken with couscous salad, sprinkled with remaining pomegranate seeds.","calories: 699, fat: 31.5g, carbs: 67.1g, protein: 37.4g, servings: 4",https://img.taste.com.au/OEaFC9v4/w720-h480-cfill-q80/taste/2018/05/sticky-pomegranate-chicken-with-couscous-salad-137136-1.jpg
Cream hearts,https://www.taste.com.au/recipes/cream-hearts/f69da7df-b02e-4046-9939-8c71886c7bc6#coral_thread,"[{'quantity': '250', 'unit': 'g', 'name': 'cream cheese'}, {'quantity': '150', 'unit': 'g', 'name': 'caster sugar'}, {'quantity': '125', 'unit': 'g', 'name': 'mascarpone cheese'}, {'quantity': '160', 'unit': 'ml', 'name': 'Greek Style Yoghurt'}, {'quantity': '300', 'unit': 'ml', 'name': 'thickened cream'}, {'quantity': '1', 'unit': 'eggwhit', 'name': 'e'}, {'quantity': None, 'unit': 'White', 'name': 'rose petals (for decoration only)'}, {'quantity': None, 'unit': 'Silver', 'name': 'cachous, to garnish'}, {'quantity': None, 'unit': 'Fresh', 'name': 'raspberries, to serve (optional)'}]","Line eight 125ml coeur a la creme moulds with squares of damp muslin, making sure fabric overhangs moulds. Place the cream cheese in bowl of an electric mixer and beat until smooth. Add 1/2 cup (110g) of sugar and beat until sugar dissolves. Add mascarpone and yoghurt, beat until combined, then fold in cream until just incorporated. Spoon mixture into moulds, pressing into corners, then fold muslin over mixture, pressing down well. Place on a tray and chill for at least 4 hours or overnight., Half an hour before serving, lightly whisk the eggwhite and spread the remaining caster sugar on baking paper. Brush the eggwhite on both sides of each petal with a pastry brush, then lightly press into the sugar. Leave to dry for 30 minutes., Invert hearts onto serving plates, remove muslin and press a few cachous onto each. Decorate with petals (do not eat) and serve with berries if desired.","calories: 367, fat: 28.3g, carbs: 23.5g, protein: 5.4g, servings: 8",https://img.taste.com.au/Mc7yvZu2/w720-h480-cfill-q80/taste/2016/11/cream-hearts-8765-1.jpeg
Easy fish chowder,https://www.taste.com.au/recipes/easy-fish-chowder/e8807457-b9e5-43ce-a92e-32d8d40be798#coral_thread,"[{'quantity': '1', 'unit': 'tbsp', 'name': 'olive oil'}, {'quantity': '200', 'unit': 'g', 'name': 'Coles Australian Made Thin Sliced Streaky Bacon, rind removed'}, {'quantity': '2', 'unit': 'onions', 'name': ', finely chopped'}, {'quantity': '2', 'unit': 'celery', 'name': 'stalks, thinly sliced'}, {'quantity': '1', 'unit': 'garlic', 'name': 'clove, crushed'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'plain flour'}, {'quantity': '2', 'unit': 'cups', 'name': '(500ml) milk, hot'}, {'quantity': '350', 'unit': 'g', 'name': 'desiree or pontiac potatoes, peeled, cut into 1cm chunks'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': '(375ml) fish stock'}, {'quantity': '100', 'unit': 'g', 'name': 'canned corn kernels, drained'}, {'quantity': '500', 'unit': 'g', 'name': 'boneless white fish (such as perch or cod), cut into bite-size chunks'}, {'quantity': '24', 'unit': 'mussels', 'name': ', scrubbed, debearded (optional)'}, {'quantity': '150', 'unit': 'ml', 'name': 'thick cream'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'chopped flat-leaf parsley, to garnish'}]","Heat the oil in a large saucepan, add the bacon and cook over medium heat until starting to crisp. Add onion and cook until it starts to soften, then add celery and garlic and cook for 1-2 minutes to soften. Add the flour and cook for 1 minute. Stir in hot milk, add potatoes and stock and cook for 5 minutes. Stir in the corn and fish, and cook for a further 5 minutes or until fish is opaque. If using mussels, add during the last 2 minutes of the fish's cooking time (discarding any that haven't opened). Stir in cream, and season with salt and pepper. Serve in deep bowls sprinkled with the parsley.","calories: 337, fat: 21.5g, carbs: 22.1g, protein: 14.3g, servings: 6",https://img.taste.com.au/F86l4Qf0/w720-h480-cfill-q80/taste/2016/11/easy-fish-chowder-10133-1.jpeg
Pork stir-fry,https://www.taste.com.au/recipes/pork-stir-fry/3427a7c3-42e2-4397-8813-fb6f39300fa0#coral_thread,"[{'quantity': '1 1/2', 'unit': 'cups', 'name': 'jasmine rice'}, {'quantity': '1', 'unit': 'tbsp', 'name': 'olive oil'}, {'quantity': '500', 'unit': 'g', 'name': 'pork stir-fry strips'}, {'quantity': '1', 'unit': 'brown', 'name': 'onion, cut into thin wedges'}, {'quantity': '125', 'unit': 'g', 'name': 'snow peas, trimmed, halved diagonally lengthways'}, {'quantity': '425', 'unit': 'g', 'name': 'can baby corn spears, drained'}, {'quantity': '190', 'unit': 'g', 'name': 'jar Thai chilli jam stir-fry paste'}]","Place rice into a sieve. Rinse under cold water. Bring 3 cups of water to the boil in a large saucepan over medium heat. Add rice. Cover tightly. Reduce heat to low. Simmer for 15 minutes. Turn off heat. Stand for 5 minutes., Meanwhile, heat a wok over high heat until hot. Add 1 teaspoon of oil. Swirl to coat. Add one-third of the pork. Stir-fry for 1 minute or until browned. Remove to a plate. Repeat twice with oil and remaining pork., Add remaining 1 teaspoon of oil and onion to wok. Stir-fry for 2 minutes. Add snow peas. Stir-fry for 1 minute., Return pork to wok with corn and stir-fry paste. Stir-fry for 2 minutes or until heated through. Serve with rice.","calories: 619, fat: 18.2g, carbs: 75.7g, protein: 36.2g, servings: 4",https://img.taste.com.au/4pAvdDHS/w720-h480-cfill-q80/taste/2016/11/pork-stir-fry-14742-1.jpeg
Chilli con carne,https://www.taste.com.au/recipes/chilli-con-carne-11/bb0b1415-06be-4589-8ea6-dfc544cd0c43#coral_thread,"[{'quantity': '1', 'unit': 'tbsp', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'kg', 'name': 'lean beef mince'}, {'quantity': '1', 'unit': 'brown', 'name': 'onion, finely chopped'}, {'quantity': '35', 'unit': 'g', 'name': 'pkt chilli seasoning'}, {'quantity': '2', 'unit': 'x', 'name': 'Mutti Polpa Finely Chopped Tomatoes 400g'}, {'quantity': '400', 'unit': 'g', 'name': 'can red kidney beans, rinsed, drained'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'Mutti Double Concentrate Tomato Paste'}, {'quantity': None, 'unit': 'Steamed', 'name': 'white rice, to serve'}, {'quantity': None, 'unit': 'Fresh', 'name': 'coriander leaves, to serve'}, {'quantity': None, 'unit': 'Reduced', 'name': '-fat sour cream, to serve'}]","Heat the oil in a large frying pan over high heat. Cook the mince, stirring with a wooden spoon to break up any lumps, for 4 minutes or until well browned., Add the onion and cook, stirring often, for 3-4 minutes or until soft. Add the seasoning, tomato, beans and tomato paste. Cook, stirring often, for 2-3 minutes or until the sauce thickens., Divide the rice and mince mixture among serving bowls. Top with coriander leaves and serve with sour cream.","calories: 643, fat: 31.3g, carbs: 30.7g, protein: 58.6g, servings: 4",https://img.taste.com.au/d0YL-ntD/w720-h480-cfill-q80/taste/2016/11/chilli-con-carne-79857-1.jpeg
